epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7444,0.72703,2.97509,1.29895,0.00909,1,0.995,0.796,0.64498,3.6679,1.183,0,0,0
2,21.7768,0.97597,2.97315,1.59621,0.0098,1,0.995,0.796,0.62605,3.65336,1.22449,1.35826e-05,1.35826e-05,1.35826e-05
3,32.8399,0.87633,3.01981,1.40827,0.00962,1,0.995,0.796,0.58428,3.63277,1.16557,2.57506e-05,2.57506e-05,2.57506e-05
4,44.376,0.81572,3.10158,1.31017,0.00971,1,0.995,0.8955,0.55217,3.60281,1.1264,3.65038e-05,3.65038e-05,3.65038e-05
5,55.4558,0.67769,2.88348,1.24303,0.0102,1,0.995,0.8955,0.48366,3.62331,1.03844,4.58423e-05,4.58423e-05,4.58423e-05
6,66.1286,0.91125,2.97779,1.54548,0.01,1,0.995,0.8955,0.42014,3.6259,0.97293,5.37661e-05,5.37661e-05,5.37661e-05
7,77.0567,0.63741,2.89131,1.22222,0.0099,1,0.995,0.8955,0.36867,3.60859,0.96298,6.02752e-05,6.02752e-05,6.02752e-05
8,88.0209,0.59319,2.87556,1.35975,0.0099,1,0.995,0.995,0.34764,3.58385,0.82121,6.53696e-05,6.53696e-05,6.53696e-05
9,99.0308,0.52541,2.88164,1.22764,0.01064,1,0.995,0.995,0.3118,3.58813,0.72654,6.90493e-05,6.90493e-05,6.90493e-05
10,109.757,0.31707,2.76607,1.06573,0.01087,1,0.995,0.995,0.28462,3.55993,0.54215,7.13142e-05,7.13142e-05,7.13142e-05
11,120.85,0.73662,3.56198,1.32526,0.01053,1,0.995,0.995,0.24173,3.5538,0.47213,7.21645e-05,7.21645e-05,7.21645e-05
12,131.551,0.66603,3.36009,1.31452,0.01042,1,0.995,0.995,0.21063,3.55437,0.39704,7.16e-05,7.16e-05,7.16e-05
13,142.281,1.10894,3.64542,1.72646,0.01031,1,0.995,0.995,0.19387,3.55395,0.37517,6.96209e-05,6.96209e-05,6.96209e-05
14,152.989,0.37211,3.18357,1.20821,0.01031,1,0.995,0.995,0.19156,3.55144,0.35783,6.6227e-05,6.6227e-05,6.6227e-05
15,163.907,0.66403,3.32645,1.42572,0.01,1,0.995,0.995,0.19322,3.55014,0.35455,6.14184e-05,6.14184e-05,6.14184e-05
16,175.091,0.32519,2.87365,1.17935,0.01,1,0.995,0.995,0.18652,3.55329,0.33446,5.51951e-05,5.51951e-05,5.51951e-05
17,185.772,0.54217,3.1064,1.33065,0.0099,1,0.995,0.995,0.18364,3.54204,0.32685,4.75571e-05,4.75571e-05,4.75571e-05
18,196.318,0.30638,2.88046,1.1904,0.0099,1,0.995,0.995,0.18364,3.54204,0.32685,3.85044e-05,3.85044e-05,3.85044e-05
19,206.98,0.26524,2.73269,1.05368,0.01,1,0.995,0.995,0.18147,3.53592,0.32946,2.8037e-05,2.8037e-05,2.8037e-05
20,217.501,0.27633,2.71911,1.02035,0.01,1,0.995,0.995,0.18147,3.53592,0.32946,1.61548e-05,1.61548e-05,1.61548e-05
