epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.862,0.91559,3.03511,1.52249,0.00503,1,0.08454,0.06456,0.65238,3.7002,1.32684,0,0,0
2,37.155,0.96073,3.08451,1.50871,0.00515,1,0.10046,0.08037,0.6203,3.70305,1.28951,1.35826e-05,1.35826e-05,1.35826e-05
3,54.575,1.01846,3.14665,1.63999,0.00512,1,0.12437,0.08292,0.55572,3.68151,1.21676,2.57506e-05,2.57506e-05,2.57506e-05
4,71.1386,0.64678,2.95304,1.22485,0.00514,1,0.22111,0.11617,0.47225,3.67235,1.12599,3.65038e-05,3.65038e-05,3.65038e-05
5,87.7364,0.65173,2.95803,1.29677,0.00523,1,0.20729,0.15201,0.3802,3.64944,1.05081,4.58423e-05,4.58423e-05,4.58423e-05
6,104.223,0.49891,2.90699,1.20281,0.00511,1,0.41458,0.26533,0.29544,3.64255,0.99192,5.37661e-05,5.37661e-05,5.37661e-05
7,121.245,0.42597,2.85253,1.11752,0.00519,1,0.74625,0.61773,0.24669,3.61413,0.88906,6.02752e-05,6.02752e-05,6.02752e-05
8,137.702,0.44976,2.88007,1.23522,0.00533,1,0.74625,0.56146,0.20951,3.6141,0.79391,6.53696e-05,6.53696e-05,6.53696e-05
9,154.277,0.60851,2.89776,1.35443,0.00551,1,0.74625,0.57523,0.15624,3.60906,0.72781,6.90493e-05,6.90493e-05,6.90493e-05
10,170.934,0.35458,2.75133,1.14871,0.00552,1,0.74625,0.597,0.14053,3.62087,0.67148,7.13142e-05,7.13142e-05,7.13142e-05
11,187.863,1.30292,3.67032,1.54379,0.00559,1,0.74625,0.597,0.14085,3.61284,0.65473,7.21645e-05,7.21645e-05,7.21645e-05
12,204.367,0.96099,3.47304,1.45482,0.00562,1,0.74625,0.61358,0.13865,3.59506,0.64324,7.16e-05,7.16e-05,7.16e-05
13,220.868,0.63295,3.12636,1.22491,0.00572,1,0.74625,0.62187,0.1339,3.58042,0.63858,6.96209e-05,6.96209e-05,6.96209e-05
14,237.549,0.8092,3.19762,1.36842,0.00607,1,0.74625,0.58456,0.13443,3.58152,0.6378,6.6227e-05,6.6227e-05,6.6227e-05
15,254.229,0.63034,3.04087,1.26363,0.0063,1,0.74625,0.54725,0.13671,3.57408,0.63791,6.14184e-05,6.14184e-05,6.14184e-05
16,270.678,0.61089,3.11266,1.33091,0.00648,1,0.74625,0.47499,0.13409,3.56465,0.64005,5.51951e-05,5.51951e-05,5.51951e-05
17,287.469,0.36504,2.82715,1.13421,0.00665,1,0.74625,0.53067,0.13229,3.55771,0.63759,4.75571e-05,4.75571e-05,4.75571e-05
18,306.973,0.31341,2.67532,1.08724,0.00665,1,0.74625,0.53067,0.13229,3.55771,0.63759,3.85044e-05,3.85044e-05,3.85044e-05
19,324.627,0.40409,2.91717,1.23991,0.00661,1,0.995,0.6965,0.13625,3.54659,0.64433,2.8037e-05,2.8037e-05,2.8037e-05
20,341.117,0.35967,2.79967,1.11542,0.00661,1,0.995,0.6965,0.13625,3.54659,0.64433,1.61548e-05,1.61548e-05,1.61548e-05
