epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.225,0.74357,2.93124,1.38954,0.00346,1,0.32343,0.28761,0.1466,3.57308,0.49406,0.00010003,0.00010003,0.00010003
2,367.21,0.40619,2.30696,1.17475,0.00512,1,0.33298,0.29925,0.2589,3.26817,0.65997,0.00020374,0.00020374,0.00020374
3,558.767,0.25309,1.59181,1.00674,0.00786,1,0.35144,0.29687,0.6629,3.63952,1.06777,0.000296132,0.000296132,0.000296132
4,747.666,0.23093,1.3606,0.98648,0.00711,1,0.29337,0.27112,0.39406,3.23126,0.89856,0.000377206,0.000377206,0.000377206
5,917.647,0.19541,1.26599,0.97655,0.00804,1,0.39012,0.31393,0.62661,3.24286,1.04478,0.000446963,0.000446963,0.000446963
6,1095.84,0.19804,1.09906,0.97287,0.62509,0.3507,0.58351,0.39278,0.78037,2.80197,1.08762,0.000505402,0.000505402,0.000505402
7,1284.06,0.2144,0.99867,0.96218,0.91872,0.32184,0.71658,0.43515,0.76436,2.66089,0.94313,0.000552523,0.000552523,0.000552523
8,1464.66,0.22056,0.922,0.96093,0.72348,0.53993,0.73675,0.47924,0.77074,2.7419,1.03518,0.000588326,0.000588326,0.000588326
9,1630.23,0.2112,0.91744,0.98526,0.78609,0.62761,0.75175,0.59792,0.42519,1.94592,0.74891,0.000612812,0.000612812,0.000612812
10,1790.76,0.17313,0.82741,0.94232,0.86283,0.33333,0.52123,0.32878,0.62659,2.66865,0.82467,0.000625981,0.000625981,0.000625981
11,1958.25,0.18621,1.91061,0.97343,0.78592,0.4,0.55232,0.50764,0.29682,1.73286,0.57719,0.000627831,0.000627831,0.000627831
12,2133.75,0.15912,1.40718,1.00109,0.90252,0.72118,0.82788,0.82788,0.22477,1.38018,0.51969,0.000618364,0.000618364,0.000618364
13,2310.63,0.14885,1.3963,0.94785,0.95344,0.66667,0.69829,0.6962,0.20989,1.95483,0.49684,0.000580174,0.000580174,0.000580174
14,2498.07,0.13673,1.22017,0.99378,0.61211,0.66667,0.70795,0.70704,0.19877,2.4781,0.48992,0.000509438,0.000509438,0.000509438
15,2689.54,0.13675,1.12224,0.95832,0.76116,0.93096,0.80765,0.80765,0.18156,1.65635,0.47523,0.000438703,0.000438703,0.000438703
16,2898.28,0.13785,1.1994,0.95998,0.73693,0.91034,0.83188,0.83188,0.16454,1.30557,0.44762,0.000367967,0.000367967,0.000367967
17,3080.38,0.10992,1.14541,0.95051,0.76941,0.97083,0.85847,0.8284,0.21964,1.23387,0.50631,0.000297232,0.000297232,0.000297232
18,3252.85,0.11474,1.06082,0.9504,0.85753,0.97701,0.85961,0.8366,0.18551,1.10265,0.48319,0.000226497,0.000226497,0.000226497
19,3428.96,0.09543,0.9894,0.92852,0.84411,0.97701,0.86105,0.83811,0.1947,1.09776,0.50596,0.000155761,0.000155761,0.000155761
20,3613.37,0.09217,0.92555,0.92609,0.84141,0.97701,0.86073,0.83778,0.19279,1.08854,0.50161,8.50255e-05,8.50255e-05,8.50255e-05
