epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.37881,0.89371,3.05187,1.55982,0.00962,1,0.995,0.796,0.64894,3.66756,1.18705,0,0,0
2,19.0223,1.13193,3.03074,1.83395,0.00943,1,0.995,0.796,0.61915,3.64788,1.21082,1.35826e-05,1.35826e-05,1.35826e-05
3,28.3359,0.87242,3.03638,1.48062,0.00885,1,0.995,0.796,0.58471,3.62253,1.13607,2.57506e-05,2.57506e-05,2.57506e-05
4,38.0349,1.23071,3.27164,1.73077,0.00917,1,0.995,0.796,0.53591,3.61857,1.09792,3.65038e-05,3.65038e-05,3.65038e-05
5,47.2881,1.03923,3.07073,1.51095,0.0102,1,0.995,0.8955,0.45296,3.63071,0.99907,4.58423e-05,4.58423e-05,4.58423e-05
6,56.5847,0.62342,2.90223,1.1801,0.0099,1,0.995,0.8955,0.33865,3.61813,0.90532,5.37661e-05,5.37661e-05,5.37661e-05
7,66.1304,0.46679,2.87336,1.11906,0.01031,1,0.995,0.995,0.28561,3.58484,0.88405,6.02752e-05,6.02752e-05,6.02752e-05
8,75.3921,0.49323,2.80007,1.1383,0.01075,1,0.995,0.995,0.238,3.57072,0.72809,6.53696e-05,6.53696e-05,6.53696e-05
9,84.7799,0.5083,2.81662,1.20485,0.01075,1,0.995,0.995,0.22385,3.57616,0.60224,6.90493e-05,6.90493e-05,6.90493e-05
10,94.073,0.75836,2.94834,1.55605,0.01075,1,0.995,0.8955,0.20886,3.58714,0.53062,7.13142e-05,7.13142e-05,7.13142e-05
11,103.628,0.36408,3.22882,1.091,0.01075,1,0.995,0.8955,0.19431,3.58122,0.49368,7.21645e-05,7.21645e-05,7.21645e-05
12,112.93,0.34955,3.19605,1.20912,0.01087,1,0.995,0.64675,0.19025,3.55971,0.48574,7.16e-05,7.16e-05,7.16e-05
13,122.109,1.08596,3.7021,1.43077,0.01042,1,0.995,0.796,0.1791,3.55331,0.50175,6.96209e-05,6.96209e-05,6.96209e-05
14,133.898,0.7859,3.33679,1.44282,0.01053,1,0.995,0.796,0.17719,3.53365,0.45767,6.6227e-05,6.6227e-05,6.6227e-05
15,143.98,0.93154,3.67691,1.49978,0.0101,1,0.995,0.796,0.16952,3.5267,0.46526,6.14184e-05,6.14184e-05,6.14184e-05
16,153.628,0.94461,3.02223,1.4379,0.0099,1,0.995,0.796,0.15769,3.54329,0.45385,5.51951e-05,5.51951e-05,5.51951e-05
17,162.841,0.71892,3.16659,1.5133,0.00962,1,0.995,0.796,0.16081,3.52402,0.45746,4.75571e-05,4.75571e-05,4.75571e-05
18,172.906,0.45466,2.75874,1.18014,0.00962,1,0.995,0.796,0.16081,3.52402,0.45746,3.85044e-05,3.85044e-05,3.85044e-05
19,184.702,1.14098,3.53187,1.72139,0.00971,1,0.995,0.796,0.17478,3.51979,0.46928,2.8037e-05,2.8037e-05,2.8037e-05
20,195.587,0.25074,2.87826,1.08707,0.00971,1,0.995,0.796,0.17478,3.51979,0.46928,1.61548e-05,1.61548e-05,1.61548e-05
